127.0.0.1 - - [29/Jan/2019:14:50:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:33 +0530] "GET /LS_SQL_TEST HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:34 +0530] "GET /LS_SQL_TEST/ HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:35 +0530] "GET /LS_SQL_TEST/welcome.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:35 +0530] "GET /LS_SQL_TEST/login.htm HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/js/common.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/css/commonCSS/custom-styleproduct.css?value=LSV4_b5_07300512 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/js/login.js?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/css/appCSS/product/login-style_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/js/uic/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/images/login-bg-new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:51:36 +0530] "GET /LS_SQL_TEST/LS-Images/Genpact-Livespread-Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:35 +0530] "POST /LS_SQL_TEST/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/welcome.htm HTTP/1.1" 200 5428
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/bootstrap-colorpicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/jquery.datetimepicker.full.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/jquery.sumoselect.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:43 +0530] "GET /LS_SQL_TEST/js/uic/migrate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/sumoselect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/template.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/commonCSS/custom-style.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/uic-table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/jquery-confirm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/ui-component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/bootstrap-colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/tab.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/uic/jquery.datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/appCSS/product/welcome_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/commonCSS/welcome.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/commonCSS/appheader.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/css/appCSS/product/style_product.css?value=LSV4_b5_07300512 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/bootstrap-slider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/jquery-confirm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/jquery/smoothness/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/jquery.validationEngine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/commonComponents.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/fonts/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/fonts/glyphicons/css/glyphicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/fonts/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/jquery.sorttable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/pdf.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/compatibility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/uic/languages/jquery.validationEngine-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2019:14:52:44 +0530] "GET /LS_SQL_TEST/js/jquery/jquery-migrate.min.js HTTP/1.1" 304 -
